Image Filename,Prefix,Writer Name (Arabic),Writer Name (English),
TAttallah2020-033a,TAttallah, اسعد الخوري طوبيا عطاالله,Asaad Koury Tobia Attallah,
TAttallah2020-034,TAttallah, اسعد درويش زكريا,Assad Darouich Zacharias,
TAttallah2020-035,TAttallah, اسعد درويش زكريا,Assad Darouich Zacharias,
TAttallah2020-037,TAttallah, اسعد الخوري طوبيا عطاالله,Asaad Koury Tobia Attallah,
TAttallah2020-038,TAttallah,الاب طوبيا العيسى,Father Tobia al-Issa,
TAttallah2020-039,TAttallah, اسعد درويش زكريا,Assad Darouich Zacharias,
TAttallah2020-077,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-094a_resize,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-095_resize,TAttallah,نديم عطاالله,Nadim Attallah,
TAttallah2020-099a_resize,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-103,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-105_resize,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-107,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-107_resize,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-122a,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-125a,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-128c,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-130,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-132a,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-132b,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
TAttallah2020-134,TAttallah,كروجر طوبيا عطاالله,Krouger Tobia Attallah,
YAL2A_01_01r,YAL,رحمى رعد,Rahma Raad,
YAL2A_03r,YAL,يوسف عبدالله مارون,Youssef Abdullah Maroun,
YAL2A_08_02,YAL,يوسف موسى صدقا,Youssef Moussa Sadaqa,
YAL2A_11_02,YAL,كاترين يزبك البدوي,Catherine Yazbek Al-Badawi,
YAL2A_13_02,YAL, نعمه الياس مخايل,Nehme Elias Mikhail,
YAL2A_14_01,YAL,أسعد الخوري,Assad Al-Khoury,
YAL2A_14_03,YAL,  طانيوس زخيا الياس باسيل,Tanios Zakhia Elias Basil,
YAL2A_16r,YAL,بشاره مرعي منصور,Bishara Mar'i Mansour,
YAL2A_23_02r,YAL,كاترين يزبك البدوي,Catherine Yazbek Al-Badawi,
YAL2A_24,YAL,فرنسيس لحود,Francis Lahoud,
YAL2A_40,YAL,بشاره مرعي منصور,Bishara Mar'i Mansour,
YAL2A_47r,YAL,يوسف عبدالله مارون,Youssef Abdullah Maroun,
YAL2A_54,YAL,ك. حنا,K. John,
YAL2A_65_02,YAL,كاترين يزبك البدوي,Catherine Yazbek Al-Badawi,
YAL2A_74r,YAL,كاترين يزبك البدوي,Catherine Yazbek Al-Badawi,
YAL4A_01_02r,YAL,الأخ إبراهيم,Brother Ibrahim,
YAL4A_03_01r,YAL,,,
YAL4A_03_01v,YAL,,,
YAL4A_03_02r,YAL,,,
YAL4A_03_02v,YAL,,,
YAL4A_03_03r,YAL,,,
YFS2A_05_01,YFS,يوسف فضل الله سلامة,Youssef Fadlallah Salemeh,
YFS2A_05_02,YFS,يوسف فضل الله سلامة,Youssef Fadlallah Salemeh,
YFS2A_05_03,YFS,يوسف فضل الله سلامة,Youssef Fadlallah Salemeh,
YFS2A_05_04,YFS,يوسف فضل الله سلامة,Youssef Fadlallah Salemeh,
YS_1D_065a,YS,مهاجرين لبنانيين ,Lebanese immigrants,
YS_1D_065b,YS,مهاجرين لبنانيين,Lebanese immigrants,
YS_1D_068,YS,داني السباقة,Dani Al-Sibaqa,
YS_1D_070d,YS,,,
YS_1D_071a,YS,,,
YS_1D_071b,YS,,,
YS_1D_071c,YS,,,
YS_1D_074,YS,,,
YS_1D_074a,YS,,,
YS_1E_005a,YS,المطران دريان,Bishop Daryan,
YS_1F_010,YS,,,
YS_1F_010a,YS,,,
YS_2C_004,YS,,,
YS_2C_004a,YS,,,
YS_2C_004b,YS,,,
YS_2C_004c,YS,,,
YS_2C_004d,YS,,,
YS_2C_004e,YS,,,
YS_2C_004f,YS,,,
YS_2F_015a,YS,,,
YS_2F_015b,YS,,,
YS_2F_015c,YS,,,
YS_2F_015d,YS,,,
YS_2F_015e,YS,,,
YS_2F_015f,YS,,,
YS_2F_015g,YS,,,
YS_2F_015i,YS,,,
YS_2F_015n,YS,,,
YS_2F_015o,YS,,,
YS_2F_015p,YS,,,
YS_4A_011,YS,,,
YS_4A_011a,YS,,,
YS_4A_011b,YS,,,
YS_4A_011d,YS,,,
YS_4A_011e,YS,,,
YS_4A_011f,YS,,,
YS_4A_011g,YS,,,
YS_4A_011h,YS,,,
YS_4A_011i,YS,,,
YS_4A_011j,YS,,,
YS_4A_011k,YS,,,
YS_4B_089,YS,,,
YS_4B_089b,YS,,,
YS_4D_054,YS,,,
YS_4D_054b,YS,,,
YS_5H_003,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_004,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_007,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_008,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_011c,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_011d,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_011f,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_011g,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_017,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_017b,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_017d,YS,يوسف حنا السودا,Youssef Hanna El-Sawda,
YS_5H_023,YS,موريس بول ساراي,Maurice Paul Sarrail,
YS_5H_023a,YS,موريس بول ساراي,Maurice Paul Sarrail,
